Image ID,True Class,Predicted Class,Confidence,Leaf Pixels,Activated Pixels,Activation Threshold,Attention-Affected Region %,Mean Leaf Activation,Mean Activated Activation,Weighted Activation,Health Score,Severity
08a723e4-6b51-4395-8013-b1f3f03709b8___GHLB2 Leaf 8967_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9976460337638855,50176,8643,0.6,17.23,0.2529,0.8107,0.2529,57,Moderate
08a94695-4566-49aa-84df-91980c3534a2___RS_Late.B 5396.JPG,tomato_Late blight,tomato_Late blight,0.9993343949317932,41908,8501,0.6,20.28,0.2819,0.7786,0.2819,57,Moderate
08a94695-4566-49aa-84df-91980c3534a2___RS_Late.B 5396_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.5964497923851013,50176,7164,0.6,14.28,0.2021,0.7842,0.2021,60,Moderate
08c1db4d-e947-4499-beff-ed2d8025d725___RS_Late.B 6113.JPG,tomato_Late blight,tomato_Late blight,0.473238468170166,29512,5843,0.6,19.8,0.2138,0.7639,0.2138,58,Moderate
08c1db4d-e947-4499-beff-ed2d8025d725___RS_Late.B 6113_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9999345541000366,50176,13073,0.6,26.05,0.4195,0.7147,0.4195,98,Healthy
08f6ed0a-4cd0-4bd3-8983-469002cad2d9___GHLB2 Leaf 9078.JPG,tomato_Late blight,tomato_Late blight,0.9999998807907104,31366,16396,0.6,52.27,0.5564,0.8117,0.5564,36,Severe
08f6ed0a-4cd0-4bd3-8983-469002cad2d9___GHLB2 Leaf 9078_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.999933123588562,50176,14362,0.6,28.62,0.3727,0.7656,0.3727,52,Moderate
0920260a-69be-47bb-bb71-8a2c2cab149b___GHLB2 Leaf 88.1.JPG,tomato_Late blight,tomato_Late blight,0.9999992847442627,40410,10659,0.6,26.38,0.469,0.733,0.469,55,Moderate
0920260a-69be-47bb-bb71-8a2c2cab149b___GHLB2 Leaf 88.1_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9993878602981567,50176,11531,0.6,22.98,0.3521,0.7153,0.3521,58,Moderate
0931f7e6-8481-4d03-8fe6-d4ae7637142d___RS_Late.B 4917.JPG,tomato_Late blight,tomato_Late blight,0.9723489284515381,38174,7225,0.6,18.93,0.4159,0.7553,0.4159,58,Moderate
0931f7e6-8481-4d03-8fe6-d4ae7637142d___RS_Late.B 4917_final_masked.jpg,tomato_Late blight,tomato_healthy,0.70403653383255,50176,8545,0.6,17.03,0.3345,0.7595,0.3345,98,Healthy
09590524-981f-4dc5-b6e3-5225a0c48019___GHLB2ES Leaf 140.JPG,tomato_Late blight,tomato_Late blight,0.999975323677063,42759,11988,0.6,28.04,0.4127,0.7663,0.4127,53,Moderate
09590524-981f-4dc5-b6e3-5225a0c48019___GHLB2ES Leaf 140_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.8966577649116516,50176,3596,0.6,7.17,0.1639,0.7333,0.1639,66,Moderate
098502fa-e07f-4d89-8279-adf307800887___GHLB2 Leaf 8980.JPG,tomato_Late blight,tomato_Late blight,0.9999964237213135,26466,11945,0.6,45.13,0.476,0.78,0.476,42,Moderate
098502fa-e07f-4d89-8279-adf307800887___GHLB2 Leaf 8980_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999966621398926,50176,9688,0.6,19.31,0.3126,0.7536,0.3126,58,Moderate
098f19fb-1064-4c96-9498-70adcd29f5ae___GHLB2 Leaf 8973.JPG,tomato_Late blight,tomato_Late blight,0.9999923706054688,23874,9707,0.6,40.66,0.5007,0.8298,0.5007,42,Moderate
098f19fb-1064-4c96-9498-70adcd29f5ae___GHLB2 Leaf 8973_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999889135360718,50176,8543,0.6,17.03,0.2578,0.765,0.2578,59,Moderate
0990b491-dd31-4b62-aa5a-c7bce97d552c___RS_Late.B 5558.JPG,tomato_Late blight,tomato_Late blight,0.9999288320541382,19284,7871,0.6,40.82,0.512,0.8037,0.512,43,Moderate
0990b491-dd31-4b62-aa5a-c7bce97d552c___RS_Late.B 5558_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9992039799690247,50176,11003,0.6,21.93,0.3357,0.7913,0.3357,55,Moderate
09cdb8a4-0c20-4acd-b4c8-709fad7010fd___GHLB_PS Leaf 37 Day 16.jpg,tomato_Late blight,tomato_Late blight,0.9971670508384705,50176,7841,0.6,15.63,0.2693,0.7301,0.2693,61,Moderate
09cdb8a4-0c20-4acd-b4c8-709fad7010fd___GHLB_PS Leaf 37 Day 16_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9990254640579224,50176,6918,0.6,13.79,0.2575,0.7175,0.2575,63,Moderate
09d2deda-7403-489f-b723-5ae5e00e2311___GHLB2 Leaf 8756.JPG,tomato_Late blight,tomato_Late blight,1.0,26203,5400,0.6,20.61,0.2957,0.7881,0.2957,56,Moderate
09d2deda-7403-489f-b723-5ae5e00e2311___GHLB2 Leaf 8756_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999576807022095,50176,5352,0.6,10.67,0.1955,0.7543,0.1955,63,Moderate
09e2fe63-c535-4986-a697-ed275752dc75___GHLB2 Leaf 9030.JPG,tomato_Late blight,tomato_Late blight,0.9999662637710571,30444,11272,0.6,37.03,0.4076,0.7099,0.4076,49,Moderate
09e2fe63-c535-4986-a697-ed275752dc75___GHLB2 Leaf 9030_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999819993972778,50176,7715,0.6,15.38,0.2533,0.7578,0.2533,60,Moderate
0a39aa48-3f94-4696-9e43-ff4a93529dc3___RS_Late.B 5103.JPG,tomato_Late blight,tomato_Late blight,0.9758784174919128,30776,10234,0.6,33.25,0.3962,0.78,0.3962,49,Moderate
0a39aa48-3f94-4696-9e43-ff4a93529dc3___RS_Late.B 5103_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.995017945766449,50176,10980,0.6,21.88,0.3539,0.7629,0.3539,56,Moderate
0a3f65fc-ef1c-4aed-b235-46bae4e5c0e7___GHLB2 Leaf 9065.JPG,tomato_Late blight,tomato_Late blight,0.9996510744094849,43488,11313,0.6,26.01,0.392,0.7569,0.392,54,Moderate
0a3f65fc-ef1c-4aed-b235-46bae4e5c0e7___GHLB2 Leaf 9065_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9745782017707825,50176,7611,0.6,15.17,0.2437,0.7804,0.2437,60,Moderate
0a4b3cde-c83a-4c83-b037-010369738152___RS_Late.B 6985.JPG,tomato_Late blight,tomato_Late blight,0.9999104738235474,42722,19983,0.6,46.77,0.5442,0.7804,0.5442,41,Moderate
0a4b3cde-c83a-4c83-b037-010369738152___RS_Late.B 6985_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9998801946640015,50176,23094,0.6,46.03,0.518,0.7117,0.518,44,Moderate
0a6203b9-ced0-4934-ae23-4a7d2e2e2fdd___RS_Late.B 6424.JPG,tomato_Late blight,tomato_Late blight,0.9983323216438293,24721,13850,0.6,56.03,0.6035,0.7409,0.6035,37,Severe
0a6203b9-ced0-4934-ae23-4a7d2e2e2fdd___RS_Late.B 6424_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999175071716309,50176,11386,0.6,22.69,0.3779,0.7767,0.3779,55,Moderate
0a8967d4-bb72-4fe4-8096-55fc57437557___RS_Late.B 6974.JPG,tomato_Late blight,tomato_Late blight,0.9792997241020203,33719,8785,0.6,26.05,0.3737,0.7596,0.3737,54,Moderate
0a8967d4-bb72-4fe4-8096-55fc57437557___RS_Late.B 6974_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.8960580825805664,50176,3598,0.6,7.17,0.1907,0.7424,0.1907,66,Moderate
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,tomato_Late blight,tomato_Late blight,0.9994319081306458,21826,6118,0.6,28.03,0.4356,0.7382,0.4356,54,Moderate
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.8607185482978821,50176,5673,0.6,11.31,0.2017,0.7262,0.2017,64,Moderate
0ab1cab4-a0c9-4323-9a64-cdafa4342a9b___GHLB2 Leaf 8918.JPG,tomato_Late blight,tomato_Late blight,0.9999997615814209,35596,9754,0.6,27.4,0.3755,0.7629,0.3755,53,Moderate
0ab1cab4-a0c9-4323-9a64-cdafa4342a9b___GHLB2 Leaf 8918_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999867677688599,50176,8042,0.6,16.03,0.2524,0.773,0.2524,59,Moderate
0ab391bd-e5ba-479c-919b-3aa9a94f66db___GHLB2 Leaf 8934.JPG,tomato_Late blight,tomato_Late blight,0.9999967813491821,31799,11185,0.6,35.17,0.4371,0.784,0.4371,48,Moderate
0ab391bd-e5ba-479c-919b-3aa9a94f66db___GHLB2 Leaf 8934_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9974347949028015,50176,5297,0.6,10.56,0.2026,0.7518,0.2026,64,Moderate
0ac3df5b-d713-42ef-b0ad-20b5410237ad___RS_Late.B 4969.JPG,tomato_Late blight,tomato_Late blight,0.9994626641273499,41767,11358,0.6,27.19,0.385,0.7971,0.385,52,Moderate
0ac3df5b-d713-42ef-b0ad-20b5410237ad___RS_Late.B 4969_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9949951171875,50176,9400,0.6,18.73,0.3204,0.7954,0.3204,57,Moderate
0b137624-885b-4d9b-b9e6-330c6681de4b___GHLB2 Leaf 8848.JPG,tomato_Late blight,tomato_Late blight,0.9999997615814209,27253,11764,0.6,43.17,0.5392,0.7733,0.5392,43,Moderate
0b137624-885b-4d9b-b9e6-330c6681de4b___GHLB2 Leaf 8848_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999977350234985,50176,9917,0.6,19.76,0.3016,0.7793,0.3016,57,Moderate
0b33d7a7-d017-4857-845a-874a004ccd26___RS_Late.B 4970.JPG,tomato_Late blight,tomato_Late blight,0.9998014569282532,42655,10809,0.6,25.34,0.3656,0.7832,0.3656,53,Moderate
0b33d7a7-d017-4857-845a-874a004ccd26___RS_Late.B 4970_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9990851879119873,50176,12551,0.6,25.01,0.3779,0.7907,0.3779,53,Moderate
0b3c7107-cef9-455e-8fa0-30039b9fc206___RS_Late.B 5038.JPG,tomato_Late blight,tomato_Late blight,0.9210397601127625,26759,8344,0.6,31.18,0.3944,0.7901,0.3944,50,Moderate
0b3c7107-cef9-455e-8fa0-30039b9fc206___RS_Late.B 5038_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9910281300544739,50176,10248,0.6,20.42,0.3282,0.7649,0.3282,57,Moderate
0b52ebed-e711-41f2-bfd1-af73410b370e___RS_Late.B 5463.JPG,tomato_Late blight,tomato_Late blight,0.9579126834869385,24667,4207,0.6,17.06,0.3556,0.7378,0.3556,60,Moderate
0b52ebed-e711-41f2-bfd1-af73410b370e___RS_Late.B 5463_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.8895766139030457,50176,6122,0.6,12.2,0.2248,0.7637,0.2248,62,Moderate
0b6caac4-cc62-4c46-9de4-1815a0aa6dbe___GHLB2 Leaf 8799.JPG,tomato_Late blight,tomato_Late blight,0.9957246780395508,15223,10907,0.6,71.65,0.6609,0.8035,0.6609,25,Severe
0b6caac4-cc62-4c46-9de4-1815a0aa6dbe___GHLB2 Leaf 8799_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9987174272537231,50176,14630,0.6,29.16,0.3527,0.7785,0.3527,51,Moderate
0b988f87-fdce-40ba-aa09-7e6c9e1d6d30___GHLB_PS Leaf 21 Day 8.jpg,tomato_Late blight,tomato_Late blight,0.9999977350234985,50176,13197,0.6,26.3,0.3747,0.8072,0.3747,52,Moderate
0b988f87-fdce-40ba-aa09-7e6c9e1d6d30___GHLB_PS Leaf 21 Day 8_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999901056289673,50176,12721,0.6,25.35,0.3644,0.7996,0.3644,53,Moderate
0ba7d3d8-5c4c-4365-ba0c-69f61e96a36e___RS_Late.B 5312.JPG,tomato_Late blight,tomato_Late blight,0.9992665648460388,48326,15478,0.6,32.03,0.3659,0.8024,0.3659,49,Moderate
0ba7d3d8-5c4c-4365-ba0c-69f61e96a36e___RS_Late.B 5312_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.999836802482605,50176,10446,0.6,20.82,0.3335,0.7905,0.3335,56,Moderate
0bb05a47-55a2-4c23-9dd2-3a5abf17c9f4___GHLB Leaf 5 Day 1.JPG,tomato_Late blight,tomato_Late blight,0.6525593400001526,27303,6960,0.6,25.49,0.3428,0.7641,0.3428,54,Moderate
0bb05a47-55a2-4c23-9dd2-3a5abf17c9f4___GHLB Leaf 5 Day 1_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6395975947380066,50176,4281,0.6,8.53,0.2392,0.704,0.2392,67,Moderate
0c192fbe-38eb-4abb-a858-8bc39942a3ef___RS_Late.B 6076.JPG,tomato_Late blight,tomato_Late blight,0.9893494844436646,23471,5285,0.6,22.52,0.3479,0.7655,0.3479,56,Moderate
0c192fbe-38eb-4abb-a858-8bc39942a3ef___RS_Late.B 6076_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.5007336735725403,50176,712,0.6,1.42,0.0977,0.7017,0.0977,71,Mild
0c3153b2-0e64-41b6-902a-66eafbf7cae6___GHLB Leaf 4.1 Day 1.JPG,tomato_Late blight,tomato_Late blight,0.9997541308403015,17274,10669,0.6,61.76,0.6567,0.7941,0.6567,31,Severe
0c3153b2-0e64-41b6-902a-66eafbf7cae6___GHLB Leaf 4.1 Day 1_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9908899664878845,50176,12575,0.6,25.06,0.3244,0.7886,0.3244,53,Moderate
0c47de5b-adbe-479f-8ccf-5b8c530c32f8___RS_Late.B 6312.JPG,tomato_Late blight,tomato_Late blight,0.8944855332374573,27315,5733,0.6,20.99,0.34,0.7441,0.34,58,Moderate
0c47de5b-adbe-479f-8ccf-5b8c530c32f8___RS_Late.B 6312_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9997808337211609,50176,37362,0.6,74.46,0.6637,0.7426,0.6637,26,Severe
0c73c79f-a384-4729-83c7-72c9b04da20c___GHLB2 Leaf 8927.JPG,tomato_Late blight,tomato_Late blight,0.9999994039535522,27521,13317,0.6,48.39,0.4908,0.7422,0.4908,41,Moderate
0c73c79f-a384-4729-83c7-72c9b04da20c___GHLB2 Leaf 8927_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.999991774559021,50176,13990,0.6,27.88,0.3985,0.7957,0.3985,51,Moderate
0c9ff8e1-b610-43e3-b914-5e9576dd8083___GHLB2 Leaf 107.1.JPG,tomato_Late blight,tomato_Late blight,0.9742416143417358,41026,4843,0.6,11.8,0.1938,0.7792,0.1938,62,Moderate
0c9ff8e1-b610-43e3-b914-5e9576dd8083___GHLB2 Leaf 107.1_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9586628675460815,50176,4084,0.6,8.14,0.1714,0.8213,0.1714,62,Moderate
0cc44f97-c421-4824-92a9-c9a18b005d1d___GHLB2 Leaf 8540.JPG,tomato_Late blight,tomato_Late blight,0.9853654503822327,34856,6381,0.6,18.31,0.314,0.8254,0.314,56,Moderate
0cc44f97-c421-4824-92a9-c9a18b005d1d___GHLB2 Leaf 8540_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9948503375053406,50176,8198,0.6,16.34,0.2351,0.7799,0.2351,59,Moderate
0ccaeb36-37ff-4328-91c8-99aabd68f442___RS_Late.B 6596.JPG,tomato_Late blight,tomato_Late blight,0.9689776301383972,20502,10907,0.6,53.2,0.5746,0.8011,0.5746,36,Severe
0ccaeb36-37ff-4328-91c8-99aabd68f442___RS_Late.B 6596_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9821200966835022,50176,14603,0.6,29.1,0.3937,0.7562,0.3937,52,Moderate
0cdd34fe-e8f2-41a7-b634-475338233f87___GHLB2 Leaf 8801.JPG,tomato_Late blight,tomato_Late blight,0.9999688863754272,28004,8734,0.6,31.19,0.4237,0.7477,0.4237,51,Moderate
0cdd34fe-e8f2-41a7-b634-475338233f87___GHLB2 Leaf 8801_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999845027923584,50176,10375,0.6,20.68,0.3133,0.7565,0.3133,57,Moderate
0d7a68e9-3df0-4ef8-88f7-c0a202725c5d___RS_Late.B 6787.JPG,tomato_Late blight,tomato_Late blight,0.9863470196723938,43409,8028,0.6,18.49,0.2435,0.7942,0.2435,57,Moderate
0d7a68e9-3df0-4ef8-88f7-c0a202725c5d___RS_Late.B 6787_final_masked.jpg,tomato_Late blight,tomato_healthy,0.7871086597442627,50176,19529,0.6,38.92,0.4426,0.8063,0.4426,98,Healthy
0d7b0e84-1c99-4699-84ed-ca86aec642e5___GHLB2 Leaf 8652.JPG,tomato_Late blight,tomato_Late blight,0.999975323677063,31308,14214,0.6,45.4,0.5274,0.7702,0.5274,42,Moderate
0d7b0e84-1c99-4699-84ed-ca86aec642e5___GHLB2 Leaf 8652_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9974665641784668,50176,12107,0.6,24.13,0.3384,0.7628,0.3384,55,Moderate
0d98a9eb-18e7-47e7-9010-196189bae113___RS_Late.B 5047.JPG,tomato_Late blight,tomato_Late blight,0.9999549388885498,43606,6483,0.6,14.87,0.2644,0.7522,0.2644,61,Moderate
0d98a9eb-18e7-47e7-9010-196189bae113___RS_Late.B 5047_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9862282276153564,50176,9759,0.6,19.45,0.3129,0.7725,0.3129,57,Moderate
0da23640-656e-4f03-be14-4b4b36811861___GHLB2 Leaf 9072.JPG,tomato_Late blight,tomato_Late blight,0.9999638795852661,24464,14412,0.6,58.91,0.5698,0.7975,0.5698,33,Severe
0da23640-656e-4f03-be14-4b4b36811861___GHLB2 Leaf 9072_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9973334074020386,50176,9296,0.6,18.53,0.2842,0.7967,0.2842,57,Moderate
0da53824-7b3b-43a9-9b34-146a7f71ef7e___RS_Late.B 6958.JPG,tomato_Late blight,tomato_Early blight,0.6375093460083008,30421,5632,0.6,18.51,0.2356,0.775,0.2356,58,Moderate
0da53824-7b3b-43a9-9b34-146a7f71ef7e___RS_Late.B 6958_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6094290614128113,50176,8918,0.6,17.77,0.2956,0.7565,0.2956,59,Moderate
0db85707-41f9-42df-ba3b-842d14f00a68___GHLB2 Leaf 8909.JPG,tomato_Late blight,tomato_Late blight,0.9982901215553284,29037,4658,0.6,16.04,0.2986,0.7275,0.2986,61,Moderate
0db85707-41f9-42df-ba3b-842d14f00a68___GHLB2 Leaf 8909_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.980854868888855,50176,6243,0.6,12.44,0.2161,0.7734,0.2161,62,Moderate
0dc24e61-c636-49e4-9a3d-3aa9a0efb429___GHLB2ES Leaf 69.JPG,tomato_Late blight,tomato_Late blight,0.9987078905105591,27831,9591,0.6,34.46,0.5413,0.7394,0.5413,50,Moderate
0dc24e61-c636-49e4-9a3d-3aa9a0efb429___GHLB2ES Leaf 69_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9996970891952515,27630,20304,0.6,73.49,0.6829,0.7647,0.6829,25,Severe
0dd9d965-d68a-4e47-ba02-ebcadf13c7ae___GHLB2 Leaf 78.1.JPG,tomato_Late blight,tomato_Late blight,0.9919038414955139,49301,9705,0.6,19.69,0.3319,0.8062,0.3319,56,Moderate
0dd9d965-d68a-4e47-ba02-ebcadf13c7ae___GHLB2 Leaf 78.1_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9965720176696777,50176,10975,0.6,21.87,0.3618,0.7606,0.3618,56,Moderate
0e244a32-08cd-471c-90dd-141c354c20b3___GHLB2 Leaf 8634.JPG,tomato_Late blight,tomato_Late blight,0.9999992847442627,24431,8154,0.6,33.38,0.3964,0.8198,0.3964,47,Moderate
0e244a32-08cd-471c-90dd-141c354c20b3___GHLB2 Leaf 8634_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9903936982154846,50176,10543,0.6,21.01,0.3069,0.7482,0.3069,57,Moderate
0e451078-be73-4e6b-b329-a7b0fa1f152b___GHLB2 Leaf 8612.JPG,tomato_Late blight,tomato_Late blight,0.999565064907074,30459,8403,0.6,27.59,0.4173,0.8007,0.4173,51,Moderate
0e451078-be73-4e6b-b329-a7b0fa1f152b___GHLB2 Leaf 8612_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.798892080783844,50176,5108,0.6,10.18,0.2322,0.735,0.2322,64,Moderate
0e669afb-1315-4903-b7ca-1a0ffa95d454___RS_Late.B 5626.JPG,tomato_Late blight,tomato_Late blight,0.9974834322929382,23360,11066,0.6,47.37,0.5864,0.799,0.5864,40,Moderate
0e669afb-1315-4903-b7ca-1a0ffa95d454___RS_Late.B 5626_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9774571061134338,50176,6569,0.6,13.09,0.2448,0.7522,0.2448,62,Moderate
0ead4ae7-b14a-4f00-862b-f8ca126136ec___GHLB2 Leaf 89.2.JPG,tomato_Late blight,tomato_Late blight,0.999656081199646,42604,10987,0.6,25.79,0.4132,0.7586,0.4132,54,Moderate
0ead4ae7-b14a-4f00-862b-f8ca126136ec___GHLB2 Leaf 89.2_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9997182488441467,50176,8128,0.6,16.2,0.2761,0.7903,0.2761,59,Moderate
0ed7d5f6-9394-4ae7-87db-3de58f469263___GHLB2 Leaf 8732.JPG,tomato_Late blight,tomato_Late blight,0.999998927116394,11118,0,0.6,0.0,0.0946,0.0,0.0946,100,Healthy
0ed7d5f6-9394-4ae7-87db-3de58f469263___GHLB2 Leaf 8732_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999876022338867,50176,7642,0.6,15.23,0.2221,0.8039,0.2221,59,Moderate
0f575c94-5c7d-4058-9e65-9046572f9370___GHLB2 Leaf 8956.JPG,tomato_Late blight,tomato_Late blight,0.9998626708984375,22474,5593,0.6,24.89,0.3569,0.7446,0.3569,55,Moderate
0f575c94-5c7d-4058-9e65-9046572f9370___GHLB2 Leaf 8956_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.999972939491272,50176,6106,0.6,12.17,0.2053,0.7493,0.2053,63,Moderate
0f67214c-eede-4292-b731-30ef1c47b7b6___RS_Late.B 4902.JPG,tomato_Late blight,tomato_Late blight,0.9989297986030579,40332,10960,0.6,27.17,0.3849,0.7692,0.3849,53,Moderate
0f67214c-eede-4292-b731-30ef1c47b7b6___RS_Late.B 4902_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9985243678092957,50176,10977,0.6,21.88,0.3471,0.7715,0.3471,56,Moderate
0f8887d8-24b4-4f25-bc03-d47421ab47f7___RS_Late.B 4948.JPG,tomato_Late blight,tomato_Late blight,0.9982104301452637,37764,10005,0.6,26.49,0.3717,0.7685,0.3717,53,Moderate
0f8887d8-24b4-4f25-bc03-d47421ab47f7___RS_Late.B 4948_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9665200114250183,50176,9003,0.6,17.94,0.2424,0.7915,0.2424,58,Moderate
0fa1b773-fe9f-4440-ab2a-cfbc39c9cd2b___RS_Late.B 6230.JPG,tomato_Late blight,tomato_Late blight,0.9698815941810608,27952,5915,0.6,21.16,0.3343,0.7118,0.3343,59,Moderate
0fa1b773-fe9f-4440-ab2a-cfbc39c9cd2b___RS_Late.B 6230_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9179893732070923,50176,5752,0.6,11.46,0.2422,0.6815,0.2422,66,Moderate
0fca6d09-1931-4767-a195-1dd2b7cd10b7___GHLB Leaf 8 Day 12.JPG,tomato_Late blight,tomato_Late blight,0.9989891648292542,20987,13741,0.6,65.47,0.6697,0.7611,0.6697,30,Severe
0fca6d09-1931-4767-a195-1dd2b7cd10b7___GHLB Leaf 8 Day 12_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9985881447792053,50176,5996,0.6,11.95,0.2418,0.7591,0.2418,62,Moderate
0fd882fa-471d-4bcc-ab2b-efdfaf904bc3___GHLB2 Leaf 8915.JPG,tomato_Late blight,tomato_Late blight,0.9963817596435547,50176,9689,0.6,19.31,0.3381,0.7885,0.3381,57,Moderate
0fd882fa-471d-4bcc-ab2b-efdfaf904bc3___GHLB2 Leaf 8915_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9699292778968811,50176,6135,0.6,12.23,0.216,0.7945,0.216,61,Moderate
10019e40-277e-4d69-8dee-8c034a3752a1___GHLB2ES Leaf 62.JPG,tomato_Late blight,tomato_Late blight,0.9995102882385254,26699,10627,0.6,39.8,0.4839,0.7443,0.4839,46,Moderate
10019e40-277e-4d69-8dee-8c034a3752a1___GHLB2ES Leaf 62_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9657653570175171,50176,7529,0.6,15.01,0.2299,0.7733,0.2299,60,Moderate
10020ad2-c9bc-448b-a2de-7a8d34796f96___GHLB_PS Leaf 2.1 Day 13.jpg,tomato_Late blight,tomato_Late blight,0.999803364276886,50176,7796,0.6,15.54,0.3176,0.7211,0.3176,62,Moderate
10020ad2-c9bc-448b-a2de-7a8d34796f96___GHLB_PS Leaf 2.1 Day 13_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.999876856803894,50176,7783,0.6,15.51,0.3204,0.7126,0.3204,62,Moderate
100a5029-a6c0-4a07-a40a-f27d6d44cdc9___GHLB2 Leaf 9002.JPG,tomato_Late blight,tomato_Late blight,0.9997441172599792,40205,8202,0.6,20.4,0.3225,0.768,0.3225,57,Moderate
100a5029-a6c0-4a07-a40a-f27d6d44cdc9___GHLB2 Leaf 9002_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.8496659994125366,50176,5189,0.6,10.34,0.2303,0.7634,0.2303,63,Moderate
1058d7d2-1b7d-40cc-ab26-95b2da23198b___RS_Late.B 4964.JPG,tomato_Late blight,tomato_Late blight,0.9999591112136841,34534,9380,0.6,27.16,0.3808,0.8004,0.3808,52,Moderate
1058d7d2-1b7d-40cc-ab26-95b2da23198b___RS_Late.B 4964_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9975359439849854,50176,10491,0.6,20.91,0.348,0.7819,0.348,56,Moderate
10acd4c3-b1b8-4fc7-848a-c9af30086e78___GHLB_PS Leaf 28.2 Day 13.jpg,tomato_Late blight,tomato_Late blight,0.999779999256134,50176,6543,0.6,13.04,0.2489,0.7657,0.2489,62,Moderate
10acd4c3-b1b8-4fc7-848a-c9af30086e78___GHLB_PS Leaf 28.2 Day 13_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9997115731239319,50176,4958,0.6,9.88,0.2132,0.7365,0.2132,65,Moderate
10bdda57-bfe5-4403-a4c6-a1211d4f348e___GHLB_PS Leaf 20 Day 8.jpg,tomato_Late blight,tomato_Late blight,0.9999998807907104,50176,10833,0.6,21.59,0.344,0.7649,0.344,56,Moderate
10bdda57-bfe5-4403-a4c6-a1211d4f348e___GHLB_PS Leaf 20 Day 8_final_masked.jpg,tomato_Late blight,tomato_Late blight,0.9999997615814209,50176,10757,0.6,21.44,0.3405,0.7629,0.3405,57,Moderate
10d91c8f-6d77-4c15-ad21-459688b52055___GHLB2 Leaf 154.4.JPG,tomato_Late blight,tomato_Late blight,0.8711293339729309,37803,5001,0.6,13.23,0.2242,0.7513,0.2242,62,Moderate
